Status,Day,Part,Timing,Answer
OK,1,1,0.0011058,71471
OK,1,2,0.0008031,211189
OK,2,1,0.0019849,13484
OK,2,2,0.001411,13433
OK,3,1,0.0011116,7878
OK,3,2,0.0020827,2760
OK,4,1,0.0011652,483
OK,4,2,0.0008079,874
OK,5,1,0.0013529,TLNGFGMFN
OK,5,2,0.0007802,FGLQJCMBD
OK,6,1,0.000739,1896
OK,6,2,0.0007558,3452
OK,7,1,0.0010445,1749646
OK,7,2,0.0009323,1498966
OK,8,1,0.0007045,1763
OK,8,2,0.0013361,671160
OK,9,1,0.0021214,6406
OK,9,2,0.0017591,2643
OK,10,1,0.0007373,14920
###..#..#..##...##...##..###..#..#.####.
#..#.#..#.#..#.#..#.#..#.#..#.#..#....#.
###..#..#.#....#..#.#....###..#..#...#..
#..#.#..#.#....####.#....#..#.#..#..#...
#..#.#..#.#..#.#..#.#..#.#..#.#..#.#....
###...##...##..#..#..##..###...##..####.

OK,10,2,0.0008101,<Set output>
